,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
47846,47847,B004SRH2B6,A2O6PS9HIWNM4C,"Amy L., healthy mom",1,1,5,1306195200,Amazing taste with much less sugar and calories,"Even though everyone talks about Natural as the most popular ZICO flavor, this is by far my favorite.  it's light, refreshing and has about 40% less sugar and calories than other flavored coconut waters because ZICO doesn't add juice and puree like the other brands.  By the way, it is also awesome as a mixer (or so i hear)."
47847,47848,B004SRH2B6,A2N0L4DKKTXW46,TB,1,1,1,1299715200,Bad batch,"I have been buying Zico's mango flavored coconut water for several months now but last 2 packs I received did not taste the same. It tasted as if it had gone bad/expired/etc. Normally this is a great product but after receiving two bad batches, I won't be buying Zico anymore."
47848,47849,B004SRH2B6,ADI61GPP9XMUK,12212000,1,1,1,1297036800,Tetra pack should be the only way you sell coconut water,I bought this item loving the way it tasted in the 11.2 ounce packages but opting for more drink for your buck I went ahead and order a case of the 14 ounce plastic bottle zico. Bad Idea after my first taste I was unhappy the coconut water tasted like the plastic bottle. If you buy this product definately opt for the tetra packed 11.2 ounce product.
47849,47850,B004SRH2B6,A1HZQBICYWHVV7,mememe,1,1,3,1292198400,Zico-sis,"Summary:<br />This Zico is a weak shadow of its former self.<br /><br />Pros:  Bottle looks cool?<br />Cons:  Price, from concentrate.  Taste.<br /><br />In-depth Review:<br />I have been drinking Zico on and off for several years.  I thought it was the best of the Vita/ONE/etc varieties.  This was back before they were bought by Coca Cola and I was also buying the boxed version.<br /><br />I bought this new bottled version without reading the details and did not realize that this new form was from concentrate.  I did not pick up on a 'plastic"" taste that other reviewers had.  Rather, I just found the taste rather bland and seemingly watered down.  Who knew that it was from concentrate, and really was watered down!<br /><br />Something to also consider is whether the recent coconut craze will impact deforestation and local ecologies in developing countries where they come from.  It does not seem there are many studies done on this."
47850,47851,B004SRH2B6,A2552G2MTZSLXC,Matt Matt,1,1,2,1291852800,"Zico NOT SO ""premium"" 14oz","Taste is ok,reminds of the milk leftover in the bowl after eating your cereal.<br /><br />***BEWARE***<br />My biggest issue is that its made from concentrate.(Very disappointing)<br />Shame on them.They do not tell you that before purchase.<br />Would not have purchased had I known.<br /><br />Amy and Brian's is my favorite.W/or W/out coconut pieces.<br /><br />I will only drink this as back-up<br />I drink 1 glass a day."
47851,47852,B004SRH2B6,A2K1EWIW0Q26CT,Nirav Shah,1,1,1,1285891200,:(,I used to LOVE zico tetra pack. this new stuff in new bottle is super plasticy and ugly. !!
47852,47853,B004SRH2B6,A1CMS6SF24F8XG,"New Mama ""Lisa""",1,1,1,1285718400,Tastes like plastic,I love the convenience of a bottle but the content tastes like plastic.  It might do more harm than good if the bottle has BPA in it.
47853,47854,B004SRH2B6,A1DH3QDZX8Z7GO,Charlemange,1,1,3,1282780800,It was a better product before,"I drink a lot of coconut water.  The three best tasting brands were ONE, Vita Coco, and Zico.  Recently Zico has sold out to Coca Cola and changed it's formula.  It now comes from concentrate and does not taste as good or fresh as it once did.  It does not taste terrible by any means, but if you want fresh natural coconut water, Vita Coco is really the best.  I find the best way now to enjoy these now, is to add a bit of fresh lime juice to the bottle and shake it.  Unless Zico goes back to using fresh juice, I will not buy this product again."
47854,47855,B004SRH2B6,AF9VU4OP3UQN7,anon,1,1,1,1282521600,used to be great...not any longer.,"frankly i don't care about the packaging, (some folks are up in arms about the new plastic bottles rather than the old tetra packs) but zico--which used to be my favorite coco water--no longer tastes as good as it once did. then i read that it's now FROM CONCENTRATE rather than being what it once was, and i don't see any reason to purchase it any longer. very disappointed."
47855,47856,B004SRH2B6,A33JN26OCXG959,mountainaria,1,1,1,1281139200,plastic bottle=plastic taste,"I was quite excited to try the 14 ounce bottle of Zico coconut water and much to my dismay when it finally came and I got a chance to try it I was royally disappointed. The coconut water has a plastic bottle aftertaste and it is quite unpleasant. I had one and will never drink another... too bad I bought 2 twelve packs. Get your water in those aseptic containers, NOT PLASTIC!!!"
47856,47857,B004SRH2B6,AG19LQDA53PDJ,pri_s,1,1,4,1279497600,"Good, but not the same","I've always had coconut water from the real coconuts (freshly cut right in front of me), so drinking it from a plastic bottle isn't the same. The taste feels a bit different too, but if you take it out of the bottle and drink in a glass, it doesn't remind you as much that it came from a plastic bottle :)"
47857,47858,B004SRH2B6,AWLK6NSSV0YNA,Midwest Mommy,1,1,4,1243987200,Great flavor,"My kids enjoy drinking this, and the passion fruit flavor is a refreshing change to plain coconut water.  I give my children coconut water instead of fruit juices because it is so much more nutritious, and we also drink it as a rehydrant when we are ill instead of Gatorade or Pedialyte.  We have tried Zico, VitaCoco, and O.N.E. coconut water.  Zico is my favorite in terms of flavor diversity, and O.N.E. is my favorite in terms of packaging because each drinking box includes a small extendable straw to poke through the foil and use like a juice box- a VERY NICE non-spill feature for kids."
47858,47859,B004SRH2B6,A32PE2127NFGBQ,AJ Villanueva,1,1,5,1222732800,Love it!,I first tried it here in our bikram studio.  They are pricey in that place.  But Sprouts sell it for much cheaper.  I love it.  It does rehydrate the body quickly after a sweaty session of yoga.
47859,47860,B004SRH2B6,A2HG2QO9F3TN9E,Wilda Fonseca,1,1,5,1191369600,Zico Mango,"My necessity after a Karate workout!<br />Better than a sports drink for electrolytes..much less sugar..<br />My favorite flavors........MANGO!in PURE COCONUT WATER.<br />All natural, lightly flavored with pure fruit juice.<br />Takes me back to Hawaii...mmmm."
47860,47861,B004SRH2B6,A11V0P91Y9HSCE,Robert H. Smith,1,1,5,1178928000,Mango Coco Mania,If You like mango you'll love this. It has just enough of a mango taste to give it a good flavor. If you like it could be used as is or as a mix for a great summer drink.
47861,47862,B004SRH2B6,A1EX5SK2PD0XLC,Kenneth Sandberg,3,4,1,1288483200,Tastes horrible,"I somehow managed to drink one bottle (it was hot, I was  desperate).  It really tastes bad.  I have all the rest sitting in my cabinet, never to be sipped by me.  When I am dead, I'm sure they will be thrown away.  I know, what do I mean by ""bad.""  Well, I almost felt like I would get sick if I drank a whole bottle straight.  Maybe it is good for you, but the taste is so raunchy that I would have to be on a desert island to drink it."
47862,47863,B004SRH2B6,A19XPQ8TNMCL4B,Paul Sullivan,3,4,2,1276387200,Not as good as their box water,"I had been purchasing their boxed coconutwater and that seemed to vbe discontnued and order the lrger plasticbollted water and found the taste was diffeent. I do not know if the bttle changes the taste fr the box, but is was not the same. A little disappointed in Zico."
47863,47864,B004SRH2B6,A32CGE9OLQ4MVA,Carmen,5,7,1,1278547200,From concentrate,If you like fresh coconut milk I would highly recommend you do not purchase this product. It is nasty - there is an odd taste to the product.
47864,47865,B004SRH2B6,A2AKNT3D4QLC7L,Judy M. Stern,5,7,1,1277856000,"Tastes like sweaty, vomit water!","Don't get me wrong, I REALLY wanted to love this as I had read so many great things about coconut water.  I was so excited when my order came.  I had some already in the fridge so it was cold.  After I had a great workout I went to grab my coconut water.  I was shocked at how disgusting the taste was.  I tried it again, I tried it over ice, I tried it through a straw and nothing made it taste palatable.  If you haven't had coconut water before try one first before you buy a case.  My next step is going to try and mix it with a variety of liquors and see if I can stomach it.  Good luck!"
47865,47866,B004SRH2B6,AQ7EZCXB3NY39,Bradley Thompson,5,7,5,1162771200,Mango is really mango-e,"If you dont like mangos, you will not like this drink. It does not taste like an ""organic"" mango, but rather, it tastes more like the ""essence of mango"" you would smell from an air freshener. This does mix pretty well with cold rum.<br /><br />I would suggest you find this brand locally to try it before you buy it. This water does not taste like the water you would get from the Asian countries. I cant really explain why either."
47866,47867,B004SRH2B6,A248MHU5LMRFCU,Billy-Bob Garcia,7,10,1,1274227200,Tastes like coconut water from a fresh coconut stored in a plastic jug in the trunk of your car for a few days!,"I've spent at least a hundred bucks on the old Zico boxes.  Those were metal lined, the juice was not from concentrate.  I just got a shipment of the new bottles, took a swig and almost spit it out.  Tastes like plastic.  I gave it a few more swigs, and now my stomach hurts.<br /><br />I immediately logged into Amazon so I could warn others not to buy this crap.  I'm closing the bottle, putting it back in the box and sending it all back to Amazon.  I will never buy Zico again.  YUCK!"
47867,47868,B004SRH2B6,A1Z6CKPOBXUZ49,"Brenda Cormier ""Bren in Maine""",8,12,1,1278115200,"now made from Concentrate, ""natural flavor"" added..yuk!","Coca Cola now partially owns Zico. So, now it's made from concentrate, has added ""natural flavors"" and is packaged in plastic. How to ruin nature's perfect drink for profit. This was my favorite, now I will not buy this ""new formula"" again...Looking to find another like Zico used to be. Don't know yet if the Zico tetra pak is still the ""old formula""..also..rumor has it that Pepsi is looking to buy Vita Coco..so will be keeping my eye on this, too"
47868,47869,B004SRH2B6,A1FFRNO3X7YARL,Karl G. Summers,6,9,1,1274400000,Worst coconut water EVER,"I've tried a lot of brands of coconut water, and have found that I like Zico pure coconut water the best. It has a clean refreshing taste that's not too overpowering. The 11oz boxes are what I normally drink.<br /><br />This product(14oz bottles) cannot compare to the box. The tast is absolutely horrible. Way too thick and sugary. It's almost as if they drained a bunch of old coconuts that had been sitting too long. I would advise anybody who enjoys the 11oz box to stick with that and stay away from this joke of a product. Nasty."
47869,47870,B004SRH2B6,A2J0H64O06IB2O,B Crichlow,6,9,2,1274313600,What have they done????,"I'm from the Caribbean and now live in the United States.  Since I can't get fresh coconut water where I live I order it from Amazon all the time...every few weeks or so.  My wife thought I was crazy at first, but she came to acquire a taste for coconut water and so I order some for her as well.  I loved the zico in the 11oz cartons.  I also like O.N.E; vita coco isn't bad either.  I figured that if I like zico in the 11oz carton, why not order the 14oz bottle?  Big mistake... unlike the product in the 11oz carton, this bottled stuff absolutely misrepresents authentic coconut water.  It has an after taste like sour milk.  I've tasted spoiled coconut water before in the caribbean, and even that tastes better than the new zico.  I have never felt so compelled to write a review about a product before.  I hope zico stops making their ""new"" product from concentrate, and gets back to what made their coconut water such a wonderful product in the first place.  Hope you don't make the same mistake that I did."
47870,47871,B004SRH2B6,A2IJPJZ18XXL9F,A. T. Nguyen,6,9,1,1274140800,very very very disappointed,"I was sooo initially excited about pre-ordering on amazon.com before it was available.  Then someone posted a not so good review from this same product in store and I was concerned.  Customer service said non-returnable item once shipped because it is considered perishable item.  My order just came, and boy am I ssooooooo DISAPPOINTED.  Smells funny, tastes salty.  Not same formulation.  Zico should have disclosed new formulation.  Before stumbling on Zico, me and my girlfriend did numerous taste tastes with the other brands.  I will try to hunt down Harvest Bay Coconut Water.  That brand was very comparable to the old Zico.<br /><br />I was a ZICO fan, but this new formulation just is grossly disappointing."
47871,47872,B004SRH2B6,A21YG8H7ZTS0E,Ritesh Shrivastava,2,3,1,1325203200,hated it,"worst coconut water ever, period.<br /><br />I saw them in my local BJs and thought of trying it, the taste was horrible, had an artificial flavor to it which remains in ur breath for some time. I thought of trying after my 6 mile run, and even then I couldnt drink it. had to return it and then bought some good coconut water from a local asian store (realcocowater) and it tastes much better and doesnt have any artificial flavor like this.<br />I would not even give it a one star if possible.<br />Dont buy this, its a waste of money"
47872,47873,B004SRH2B6,A85J7VFU6HWBJ,Nancy,2,3,1,1300752000,So disappointed,"I love the Zico coconut water in the little Tetra Pak boxes. It's my favorite drink. I should have read the reviews for the Zico in the plastic bottles, but it never occurred to me that the same brand could be so different. This isn't even close to the same taste. It's disgusting. I can't even describe how bad it is. Something like liquid plastic flavor with slight fermentation. AWFUL! Please do not order this product if you think you like Zico coconut water in the Tetra Paks. If anyone tried this they would think coconut water is the most vile substance on earth."
47873,47874,B004SRH2B6,A3JVRQAOYSHUWC,June A. DiGioia,2,3,2,1298505600,Vita Coco is way better,"Love coconut water, really don't like this brand, kind of tastes like plastic.  Vita Coco and Naked is much better!  Will never buy it again!"
47874,47875,B004SRH2B6,A2RNYW2HIQBGSM,Carlos Alvarez,2,3,2,1297814400,Tastes like plastic,"I have bought the version in the boxes before, but thought the plastic bottles would be more convenient.  Unfortunately it makes the drink taste like plastic.  The plastic taste is very strong, and awful.  Stick to the boxed type."
47875,47876,B004SRH2B6,AW2F64X2CXZMF,DanielefromCali,2,3,1,1289779200,Never again,"My husband loves coconut water. We were ordering via ""subscribe and save"" the boxes of Zico, but when we saw the bottles of Zico in the store, he wanted to switch because he wanted a larger quantity at one time - he takes them to work and all of his games. He mentioned that it tasted different, but we didn't think much of it. Then, I noticed the ""from concentrate"" after looking at a bottle in the fridge. We are not paying ""top dollar"" for imitation coconut water and the explanation on their website was ridiculous. It is like can OJ! After doing my research on their website, I was angry that they switched the ""liquid"" going into the box vs. bottle. Never again! I immediately canceled our ""subscribe and save"" order. We our going to Henry's this week to purchase a variety of coconut waters and will ""subscribe and save"" to another brand that uses the real stuff!"
47876,47877,B004SRH2B6,A2VRG3PJX6UJT7,Lindsay,2,3,1,1288742400,Tastes like plastic!,I couldn't take two sips of this. Tastes like chewing on a plastic bag. I used to LOVE Zico in Tetrapak - what happened?? Now I have a case of this and don't know what to do with it!
47877,47878,B004SRH2B6,A3AUHV3Z3AZZD3,Melissa Ann Foligno,2,3,1,1287792000,Taste before you buy!,This is the most disgusting drink I have ever tried!  Don't buy unless you know what it is!
47878,47879,B004SRH2B6,A3SFW7DKA83D1O,Elaine L,2,3,1,1287532800,from concentrate!,This stuff is terrible. It has that concentrated and plasticky taste as if it's not fresh.
47879,47880,B004SRH2B6,A1KVMHIX6JS4LP,"Franz Wallace ""D wallace""",2,3,1,1286755200,nasty,"I am from Jamaica, and I had coconuts straight from the trees and this does not taste natural at all, as a matter of fact this is the worst tasting coconut water I have ever tasted.  I was very disappointed, Zico does not come close. I have to give VITA COCO FIVE STAR and this None."
47880,47881,B004SRH2B6,A3HRWZW3ZK6W49,Kristen McDaniel,2,3,3,1278028800,Pretty good.,"I had coconut water when I was in the Philippines & loved it.  So, I ordered this when I got home since I enjoyed it so much.  Zico coconut water is pretty good, but not as good as the fresh coconut water I had previously, so I was slightly disappointed."
47881,47882,B004SRH2B6,A2CUGPQKBWYTQH,Marie,0,0,5,1351123200,Great taste!,The best coconut water...it is much better in the bottle than the paper box. I would recommend it. It even tastes great at room temperature.
47882,47883,B004SRH2B6,AWMGC1CQ08X7I,Audrey,0,0,5,1350950400,The most wonderful thing ever invented.,"I'm not religious, but bless you Zico. Being able to buy in bulk is the only way to go. Will order again. I do prefer the tetra packs but the bottles were convenient."
47883,47884,B004SRH2B6,AY1EF0GOH80EK,Natasha Stryker,0,0,5,1350691200,Favorite flavored coconut water,"I have tried SO MANY coconut waters, most range from good to absolutely undrinkable (I am looking at you Vitacoco with Tropical fruit >:P ).  This Zico with Passion Fruit is my favorite and seriously helped my through some HORRENDOUS morning sickness.  It tastes fresh and crisp with no off flavors or aftertaste.  I would put the 11 ounces on ice with a bit of chilled water in a huge cup and sip it all day, adding more water as the day went on until I was just drinking water.  If I tried drinking plain water I would retch immediately so this was a great help.  Also nice to get some electrolytes to help with dehydration."
47884,47885,B004SRH2B6,A1C1KF4DOBO9F8,Rejoyce,0,0,5,1350000000,Great price for a good product,"The product always arrives on time and is well packaged to prevent damage.  I am set up on automatic shipments to save additional money.<a href=""http://www.amazon.com/gp/product/B004SRH2B6"">ZICO Pure Premium Coconut Water, Natural, 33.8-Ounce Container (Pack of 6)</a>"
47885,47886,B004SRH2B6,A36AFT63F2SDX3,"Humberto Moraes Soares ""Books da Rozi""",0,0,5,1349827200,Really good product,"I use to have natural coconut water from  the fruit in Brazil and also tried a lot of brands here in US, finally found Zico chocolate flavored and it is really good."
47886,47887,B004SRH2B6,A3FR4M6XPB3XY3,KAL,0,0,1,1349654400,Want to like it but don't,"I've been drinking ZICO brand coconut water after yoga for a few years.  My favorite flavor disappeared after ZICO sold out to Big Business, and my next favorite flavor since the sell out never seems to be available.  So I tried pineapple because it was available and I like another brand of coconut water with pineapple, but ZICO definitely did not nail this flavor!  I will choke down the rest of the nasty pineapple case and switch to something else...have lost faith in ZICO since they sold out."
47887,47888,B004SRH2B6,A6A3VZKPA9YCG,"RPG ""R""",0,0,3,1349654400,Zico Pure Premium coconut water 14oz. Not so Tastey!,"Just got my order.. good thing.. nothing leaked like the Zico 33.8 Oz (6pack).<br />I've had about 5 so far.. have to say.. Vita Coco taste alot better. I do like the resealable packaging.. but, taste not so good.. as some reviewers said.. taste plasticy... I think I will stick with vita Coco."
47888,47889,B004SRH2B6,A28WZZASL1ACK3,"A. Vairavan ""KV""",0,0,4,1349395200,Satisfying and Refreshing Drink,"Knowing well that my wife and I have taken to this refreshing drink, our son regularly<br />  sends us (through amazon.com) Zico- pure premium coconut water (natural). It is a very<br />  convenient and economic way to order and receive the product at our doorsteps.  My<br />  wife especially likes the drink and enjoys it almost daily.<br /><br />  The taste is not quite the same as that of fresh coconut water, but it comes pretty close.<br />  If one feels really thirsty or dehydrated and looks for something other than plain water,<br />  this product could be very satisfying."
47889,47890,B004SRH2B6,A36X8R1Y6NREHY,S. H.,0,0,1,1349222400,Tastes like plastic-YUCK!,Have purchased this product in different cities from different stores.  The consistent thing?  It tastes like plastic.  Nasty.  I will not be buying this product ever again.
47890,47891,B004SRH2B6,A3H0WCPNYRUA7R,Mary Galvin,0,0,5,1349222400,Rehydrate naturally,Rehydrate naturally with Zico Pure premium Coconut water.  I love the passion fruit flavor.  It is a mix of light fruits and coconut water giving you all the potassium you need after an intense work out.  I love doing Bickram yoga and I rehydrate with Zico!
47891,47892,B004SRH2B6,A39MOLMP6YY28D,Alan,0,0,5,1349049600,Hydrates better than sports drinks AND tastes better!,"Many popular sports drinks have a lot of sodium and glucose as well as other electrolytes and stuff. Their flavoring frequently is nasty.<br /><br />ZICO Coconut Water on the other hand is water with a pleasant coconut flavor and a natural blend of sugars and nutrients found within green coconuts. There's far less sodium than in other sports drinks, lots of potassium, and it can also be mixed with fruit juice to add some nice flavor to complement it (mango and orange are good additions).<br /><br />After raking leaves for a few hours in the hot Florida sun, this stuff not only tastes better, it seems to hydrate faster as well, I feel refreshed and ready for more work quicker than with the regular sports drinks."
47892,47893,B004SRH2B6,A346PNJ0UJFUA7,B. Smith,0,0,5,1348876800,Delicious!,"This is one of my favorite flavors,however I like the natural and chocolate flavors also. Very refreshing all year long! Love to send it to my family members who are in college."
47893,47894,B004SRH2B6,A2651U83ADWP6R,aggie,0,0,5,1348790400,zico,I love ZICO. I have Sjogrens and can get dehydrated very quickly. Since I have been drinking ZICO every morning I have not had to go into the hospital. My doctor was the one who had suggested to buy it. I really love your money saving offer. Plus it is delivered at the door. Who could ask for anything better.<br />Aggie
47894,47895,B004SRH2B6,A2UZJDBFJBSVO,slm4996,0,0,3,1348531200,"OK, lots of taste variety between batches","The first batch I got was fairly good, the second batch had a plastic sort of taste.  I didn't realize how bad it was until I tried some side-by-side with some Taste Nirvana brand.<br /><br />So my recommendation so far is Tast Nirvana, I just ordered some Amy and Brian's I will update here once I get it and compare."
47895,47896,B004SRH2B6,A1ZCW12U4J8DXH,"E. Garrett ""EG""",0,0,1,1348272000,Not sure what the fuss is about. I didn't enjoy it at all.,"I wanted to try this out because I've heard a lot of good things about Coconut Water and it sounded sweet and tasty.<br /><br />However...it's surprisingly bitter and not...very good at all. I am basically forcing myself to finish the bottle. Adding a spoonful of sugar has actually helped it a lot. Regardless, I highly recommend tasting a bit of it before you buy any large amount. It's probably an acquired taste, and not for me."
47896,47897,B004SRH2B6,A1W67198LN2VPJ,Garet Gordon,0,0,1,1348272000,Disappointed,"Overall decent taste, but not what I expected.  Also did not expect this to be coconut water from CONCENTRATE. I will read the fine print better next time.  100% pure coconut water is always better IMHO.<br /><br />The added sugar would not really be necessary if it's pure coconut water, not from concentrate."
47897,47898,B004SRH2B6,AXRZ5UBRRASHR,Sam,0,0,5,1348185600,Amazing!,"This stuff is delicious and Amazon has the best price on it that I've seen so far (around $2.10 a bottle)<br /><br />I'm a chocolate addict and this stuff is my waistlines saving grace, it's only 120 calories a bottle and I drink half of it at a time. It's also got all the health benefits of regular coconut water (potassium,iron and electrolytes)<br /><br />It's still a little expensive but it's a real treat and I will definitely buy this product again."
47898,47899,B004SRH2B6,A306WT519LXA0T,Jonathan Batista,0,0,5,1348012800,Great Flavor,"Like many of the other reviews, I have tried coconut water and hated the taste. I do love chocolate and had a free sample of this and was hooked. Since these sell in NY for about $3 a bottle I decided to buy the cases. As soon as I saw that amazon only had a few left I bought 4 boxes. Hopefully they get more in stock when I am ready.<br /><br />Side note: I used to get really bad headaches at work and now that I drink one with my lunch I feel much better (refreshed). I highly recommend giving it a try."
47899,47900,B004SRH2B6,A3EJZZ8HPFCTSK,cmt018,0,0,5,1347926400,Wonderful,This pure coconut water is my favorite and to be able to get it delivered to the door is awesome. The bottle size is perfect - just enough for refreshment with no waste. The drink chills quickly in the refridgerator and tastes great.
47900,47901,B004SRH2B6,A3J5J16BPO6Q9B,kel,0,0,5,1347840000,So far the best,"I have tried 2 other brands, Vita Coco and Taste Nirvana, and in my opinion Zico has the better taste of the 3."
47901,47902,B004SRH2B6,A186NOZW7YYOX2,Wurk Indad,0,0,2,1347840000,Okay...,Doesn't taste like real coconut water.  They may have used extremely young coconuts (that are are not desirable) or some second-rate coconut crop.
47902,47903,B004SRH2B6,A1CT5D2CE2JOH,Rob M,0,0,5,1347840000,ZICO - Great stuff - a bit expensive!,ZICO Coconut Water is great stuff.  I wish I could find it somewhere where it wasnt soo expensvie.  It is a bit expensive!
47903,47904,B004SRH2B6,A3MPTMYAYVVM8M,E. Gladden,0,0,5,1347667200,"Coconut water "" Yoo-Hoo""","I used to love the chocolate drink ""Yoo-Hoo"" growing up as a kid. I tried this because I love coconut water now but was intrigued by the chocolate. I was pleasantly surprized!!! I no longer have to act like I'm buying Yoo-Hoo for a child I don't have and can confidently drink ZICO CHOCOLATE in public!!! LOL"
47904,47905,B004SRH2B6,A16FINS0ZM8EJF,R. E. Wolff,0,0,3,1347580800,Good but not great,"Not bad coconut water but doesn't come close to Nirvana (in bottles). They both originate from Thai coconuts but Nirvana has a much deeper, richer taste."
47905,47906,B004SRH2B6,A17ALZ8BNDN17D,LG,0,0,5,1347062400,Love this stuff!!,This stuff is absolutely amazing!  It tastes the best when it is really cold and goes down super smooth!  Anyone who works on on a regular basis should at least give it a try.
47906,47907,B004SRH2B6,A2H0XZNQKU7MQ,"Lynne ""LynneMH""",0,0,5,1346976000,It's great!,I really like this product. It is always fresh and taste great.  I especially like the lid which is easy to use and secure.  Not like other brands with a flip lid that tears easily and can leak.
47907,47908,B004SRH2B6,AUJ9KXX20JX4Q,Jeremy A. Mazur,0,0,5,1346889600,great drink,"I like having Zico with dinner, it really quenches my thirst.  I also like taking it to watch my son playing sports, everyone else is drinking coffee which I never drink."
47908,47909,B004SRH2B6,A1XFDTSZA5Z4X3,retired,0,0,5,1346544000,Great Stuff,ZICO is wonderful.  What a difference this great tasting coconut water has make in my daily<br />routines. All Senior's could benefit in their daily life from this product.  Highly recommended!
47909,47910,B004SRH2B6,A75AIUX8ZP2UM,Laurie,0,0,5,1346112000,Zico,I am training for a marathon and was having trouble with cramping. In the past i had only used gatoraid and that was not stopping the cramps.I had tried Zico in other flavors but chocolate is the only one I can tolerate. I actually love the chocolate. Since using it after runs over 90mins. I no longer get cramps. It is best cold. I also mix it into my smoothie as a recovery drink. I order it by the case now since my grocery store does not always have it and I don't want to run out.
